"created_at","text","label_numeric"
2022-08-28,"Je n’ai plus « ma face sur le poteau » mais je suis presqu’aussi fébrile! D’une Véronique à l’autre 😉
L’engagement démocratique, c’est magnifique. 
Bonne campagne tout le monde!
@VenneVeronique
 
#EnTempsRéel #SurLeTerrain #Joliette #Quebec2022 #Polqc",0
2022-08-28,"Magnifique lancement de campagne du @partiquebecois
 au bord de notre grand fleuve.
Tellement inspirant de côtoyer ces candidats qui débordent de convictions et d’enthousiasme.
#polqc #polqc2022",0
2022-08-28,"Élections au Québec :

« La priorité numéro un, ça doit être la santé des gens et la santé de l’environnement. »

- Gabriel Nadeau-Dubois, porte-parole de QS

#polqc #qc2022",0
2022-08-28,"Au PLQ, on a un plan économique pour tout ce que @francoislegault
  a ignoré et négligé. Demain, on va dévoiler notre Plan Portefeuille Libéral. Un plan pour mettre plus d’argent dans vos poches. Le 3 octobre, on vote pour le vrai parti de l'économie, votez Libéral. #polqc #Qc2022",0
2022-08-28,"Élections au Québec : 

« La question qui se pose, c’est ""quel avenir pour le fait français en Amérique? Quel avenir pour la nation québécoise?"" » 

- Paul St-Pierre Plamondon, chef du PQ #polqc #qc2022",0
2022-08-28,"En commençant, Legault a fait une bourde pour ne pas montrer trop d'attention à Dominique Anglade avec comme résultat qu'il a braqué les projecteurs sur elle pour le reste de la journée...
Il risque de trouver ça long 36 jours de campagne
#QC2022 #polQC",0
2022-08-28,"Pas beaucoup d’heures de sommeil + beaucoup d’heures de travail = des affiches posées partout dans René-Levesque… 

Une recette gagnante. 🪧😁⚜️

Merci à ma gang de militants d’avoir été si nombreux et si généreux de votre temps. 🙏🏻 

#PQ2022 #polqc 
@partiquebecois",0
2022-08-28,"En cette année du centenaire, c'est pas fort @PconservateurQc
  #RenéLévesque #polqc",0
2022-08-28,"« Ils sont pauvres comme des crucifix pleumés » disait le regretté Jean Lapierre 😏 #plq #polQC #AssNat #QC2022",0
2022-08-28,"Élections au Québec : le recrutement
 « Pour la première fois, les jeunes de 16 et 17 ans vont pouvoir agir comme membre du personnel électoral. »
- Philippe Reid, directeur général des élections du Québec
#polqc #quebec2022",0
2022-08-28,"« L'important, c'est qu'ils puissent ramener leur trousse au plus tard à 20h le lundi 3 octobre. 
- Philippe Reid, directeur général des élections du Québec
#polqc #quebec2022",0
2022-08-28,"Faut croire que je logeais déjà à la bonne place! 😉
@partiquebecois
 #polqc #Elections2022",2
2022-08-28,"« On a tous le sentiment que notre qualité de vie s’est détériorée sous le leadership de ⁦@francoislegault » a lancé @E_Duhaime en point de presse. Accusé par le PM de diviser les québécois, il répond que c’est François Legault qui le fait, et pas lui #qc2022",0
2022-08-28,"Opération pancarte. C’est toujours un plaisir de parler avec les électeurs de JMV. 
Posters are going up. It’s always a pleasure talking with the constituents of JMV. #plq",0
2022-08-28,"La meute à Duhaime était de sortie cette nuit… 🤦🏻‍♂️ #pcq #polQC #QC2022
Quote
Le Journal de Montréal
@JdeMontreal
Pancartes électorales: sitôt posées, sitôt vandalisées
#qc2022 qub.ca/article/pancar",1
2022-08-28,".@francoislegault accueilli en grand au Saint-Crème d'Alma #qc2022 #polqc https://lequotidien.com/2022/08/28/fra",0
2022-08-28,"Message pour #Chauveau #qc2022 #polqc",2
